name,un,al,oas,au,eu,nato
Afghanistan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Albania,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Algeria,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Andorra,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Angola,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Antigua and Barbuda,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Argentina,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Armenia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Australia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Austria,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Azerbaijan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bahamas,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Bahrain,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Bangladesh,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Barbados,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Belarus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Belgium,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Belize,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Benin,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Bhutan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bolivia (Plurinational State of),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Bosnia and Berzegovina,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Botswana,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Brazil,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Brunei Darussalam,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bulgaria,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Burkina Faso,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Burundi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cabo Verde,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cambodia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cameroon,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Canada,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Central African Republic,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Chad,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Chile,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Colombia,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Comoros,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Congo,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Costa Rica,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
C̫te D'Ivoire,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Croatia,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Cuba,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Cyprus,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Czech Republic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Democratic People's Republic of Korea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Democratic Republic of the Congo,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Denmark,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Djibouti,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Dominica,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Dominican Republic,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Ecuador,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Egypt,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
El Salvador,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Equatorial Guinea,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Eritrea,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Estonia,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Ethiopia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fiji,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Finland,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
France,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Gabon,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gambia (Republic of The),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Georgia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Germany,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Ghana,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Greece,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Grenada,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Guatemala,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Guinea,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Guinea Bissau,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Guyana,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Haiti,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Holy See,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Honduras,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Hungary,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Iceland,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
India,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Indonesia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Iran (Islamic Republic of),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Iraq,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ireland,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Israel,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Italy,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Jamaica,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Japan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Jordan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Kazakhstan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kenya,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Kiribati,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kuwait,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Kyrgyzstan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Lao People's Democratic Republic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Latvia,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Lebanon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Lesotho,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Liberia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Libya,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Liechtenstein,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Lithuania,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Luxembourg,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Madagascar,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Malawi,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Malaysia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Maldives,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mali,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Malta,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Marshall Islands,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mauritania,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Mauritius,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Mexico,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Micronesia (Federated States of),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Monaco,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mongolia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Montenegro,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Morocco,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Mozambique,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Myanmar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Namibia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Nauru,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nepal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Netherlands,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
New Zealand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nicaragua,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Niger,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Nigeria,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Norway,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Oman,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Pakistan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Palau,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panama,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Papua New Guinea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Paraguay,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Peru,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Philippines,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Poland,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Portugal,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Qatar,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Republic of Korea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Republic of Moldova,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Romania,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Russian Federation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Rwanda,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Saint Kitts and Nevis,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Saint Lucia,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Saint Vincent and the Grenadines,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Samoa,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sahrawi Republic (Western Sahara),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
San Marino,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sao Tome and Principe,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Saudi Arabia,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Senegal,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Serbia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Seychelles,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sierra Leone,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Singapore,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Slovakia,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Slovenia,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Solomon Islands,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Somalia,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
South Africa,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
South Sudan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Spain,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Sri Lanka,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
State of Palestine,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Sudan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Suriname,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Swaziland,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sweden,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Switzerland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Syrian Arab Republic,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Tajikistan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Thailand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The former Yugoslav Republic of Macedonia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Timor-Leste,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Togo,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Tonga,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Trinidad and Tobago,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Tunisia,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Turkmenistan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tuvalu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Uganda,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Ukraine,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
United Arab Emirates,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
United Kingdom of Great Britain and Northern Ireland,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
United Republic of Tanzania,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
United States of America,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Uruguay,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Uzbekistan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Vanuatu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Venezuela, Bolivarian Republic of",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Viet Nam,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Yemen,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Zambia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Zimbabwe,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE